UID          PID    PPID  C STIME TTY          TIME CMD
root        1652       2  0  2023 ?        00:00:00 [kvm-irqfd-clean]
root        1773       2  0  2023 ?        00:00:00 [bioset]
root        1775       2  0  2023 ?        00:00:00 [xfsalloc]
root        1776       2  0  2023 ?        00:00:00 [xfs_mru_cache]
root        1777       2  0  2023 ?        00:00:00 [xfs-buf/sdc1]
root        1778       2  0  2023 ?        00:00:00 [xfs-data/sdc1]
root        1779       2  0  2023 ?        00:00:00 [xfs-conv/sdc1]
root        1780       2  0  2023 ?        00:00:00 [xfs-cil/sdc1]
root        1781       2  0  2023 ?        00:00:00 [xfs-reclaim/sdc]
root        1782       2  0  2023 ?        00:00:00 [xfs-log/sdc1]
root        1783       2  0  2023 ?        00:00:00 [xfs-eofblocks/s]
root        1784       2  0  2023 ?        04:31:37 [xfsaild/sdc1]
root        1786       2  0  2023 ?        00:00:00 [xfs-buf/sdd1]
root        1787       2  0  2023 ?        00:00:00 [xfs-data/sdd1]
root        1788       2  0  2023 ?        00:00:00 [xfs-conv/sdd1]
root        1789       2  0  2023 ?        00:00:00 [xfs-cil/sdd1]
root        1790       2  0  2023 ?        00:00:00 [xfs-reclaim/sdd]
root        1791       2  0  2023 ?        00:00:00 [xfs-log/sdd1]
root        1792       2  0  2023 ?        00:00:00 [xfs-eofblocks/s]
root        1793       2  0  2023 ?        13:23:58 [xfsaild/sdd1]
root        1794       2  0  2023 ?        00:15:57 [jbd2/sdb1-8]
root        1795       2  0  2023 ?        00:00:00 [ext4-rsv-conver]
root        1801       2  0  2023 ?        00:00:00 [jbd2/sda1-8]
root        1802       2  0  2023 ?        00:00:00 [ext4-rsv-conver]
root        1859       1  0  2023 ?        00:02:53 /sbin/auditd
root        1861    1859  0  2023 ?        00:03:29 /sbin/audispd
root        1862    1861  0  2023 ?        00:01:36 /usr/sbin/sedispatch
root        1866       1  0  2023 ?        00:00:52 /usr/sbin/rpc.idmapd
rpc         1887       1  0  2023 ?        00:01:11 /sbin/rpcbind -w
root        1889       1  0  2023 ?        00:00:09 /usr/sbin/abrtd -d -s
root        1903       1  0  2023 ?        00:00:00 /usr/bin/abrt-watch-log -F Backtrace /var/log/Xorg.0.log -- /usr/bin/abrt-dump-xorg -xD
root        1908       1  0  2023 ?        00:00:59 /usr/sbin/gssproxy -D
root        1909       1  0  2023 ?        00:04:53 /usr/sbin/smartd -n -q never
root        1911       1  0  2023 ?        00:04:03 /usr/bin/abrt-watch-log -F BUG: WARNING: at WARNING: CPU: INFO: possible recursive locking detected ernel BUG at list_del corruption list_add corruption do_IRQ: stack overflow: ear stack overflow (cur: eneral protection fault nable to handle kernel ouble fault: RTNL: assertion failed eek! page_mapcount(page) went negative! adness at NETDEV WATCHDOG ysctl table check failed : nobody cared IRQ handler type mismatch Kernel panic - not syncing: Machine Check Exception: Machine check events logged divide error: bounds: coprocessor segment overrun: invalid TSS: segment not present: invalid opcode: alignment check: stack segment: fpu exception: simd exception: iret exception: /var/log/messages -- /usr/bin/abrt-dump-oops -xtD
root        1925       1  0  2023 ?        02:23:10 /usr/sbin/irqbalance --foreground
chrony      1940       1  0  2023 ?        00:01:58 /usr/sbin/chronyd
root        1959       1  0  2023 ?        00:20:52 /usr/lib/systemd/systemd-logind
libstor+    1960       1  0  2023 ?        00:02:00 /usr/bin/lsmd -d
avahi       1962       1  0  2023 ?        00:01:18 avahi-daemon: running [tamsa2.local]
polkitd     1966       1  0  2023 ?        00:07:52 /usr/lib/polkit-1/polkitd --no-debug
root        1985       1  0  2023 ?        1-05:19:20 /sbin/rngd -f
